Treasure #1; cost: 75
Treasure #2; cost: 7
Treasure #3; cost: 59
Treasure #4; cost: 67
Treasure #5; cost: 62
Treasure #6; cost: 21
Treasure #7; cost: 12
Treasure #8; cost: 24
Treasure #9; cost: 81
Treasure #10; cost: 62
Treasure #11; cost: 57
Treasure #12; cost: 17
Treasure #13; cost: 26
Treasure #14; cost: 14
Treasure #15; cost: 73
Treasure #16; cost: 50
Treasure #17; cost: 76
Treasure #18; cost: 8
Treasure #19; cost: 90
Treasure #20; cost: 75
Treasure #21; cost: 43
Treasure #22; cost: 45
Treasure #23; cost: 98
Treasure #24; cost: 50
Treasure #25; cost: 94
Treasure #26; cost: 18
Treasure #27; cost: 47
Treasure #28; cost: 22
Treasure #29; cost: 29
Treasure #30; cost: 62
Treasure #31; cost: 61
Treasure #32; cost: 38
Treasure #33; cost: 70
Treasure #34; cost: 52
Treasure #35; cost: 98
Treasure #36; cost: 27
Treasure #37; cost: 57
Treasure #38; cost: 21
Treasure #39; cost: 91
Treasure #40; cost: 62
Treasure #41; cost: 47
Treasure #42; cost: 76
Treasure #43; cost: 3
Treasure #44; cost: 28
Treasure #45; cost: 8
Treasure #46; cost: 19
Treasure #47; cost: 91
Treasure #48; cost: 95
Treasure #49; cost: 70
Treasure #50; cost: 70
Treasure #51; cost: 55
Treasure #52; cost: 100
Treasure #53; cost: 78
Treasure #54; cost: 75
Treasure #55; cost: 95
Treasure #56; cost: 0
Treasure #57; cost: 88
Treasure #58; cost: 65
Treasure #59; cost: 5
Treasure #60; cost: 50
Treasure #61; cost: 92
Treasure #62; cost: 78
Treasure #63; cost: 76
Treasure #64; cost: 30
Treasure #65; cost: 49
Treasure #66; cost: 89
Treasure #67; cost: 88
Treasure #68; cost: 13
Treasure #69; cost: 34
Treasure #70; cost: 37
Treasure #71; cost: 2
Treasure #72; cost: 69
Treasure #73; cost: 91
Treasure #74; cost: 48
Treasure #75; cost: 72
Treasure #76; cost: 3
Treasure #77; cost: 55
Treasure #78; cost: 28
Treasure #79; cost: 91
Treasure #80; cost: 19
Treasure #81; cost: 21
Treasure #82; cost: 31
Treasure #83; cost: 10
Treasure #84; cost: 85
Treasure #85; cost: 12
Treasure #86; cost: 72
Treasure #87; cost: 8
Treasure #88; cost: 22
Treasure #89; cost: 11
Treasure #90; cost: 19
Treasure #91; cost: 9
Treasure #92; cost: 6
Treasure #93; cost: 93
Treasure #94; cost: 26
Treasure #95; cost: 31
Treasure #96; cost: 76
Treasure #97; cost: 17
Treasure #98; cost: 65
Treasure #99; cost: 78
Treasure #100; cost: 20
